,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2021-01-01,737.7083740234375,749.2018432617188,719.792236328125,730.3675537109375,13652004358,28994.009765625,29600.626953125,28803.5859375,29374.15234375,40730301359,0.004681000020354986,0.005685000214725733,0.004614999983459711,0.005685000214725733,228961515
2021-01-02,730.4026489257812,786.7984619140625,718.1094970703125,774.5349731445312,19740771179,29376.455078125,33155.1171875,29091.181640625,32127.267578125,67865420765,0.0056859999895095825,0.013698000460863113,0.005584000144153833,0.010614999569952488,3421562680
2021-01-03,774.5118408203125,1006.5650024414062,771.5616455078125,975.5076904296875,45200463368,32129.408203125,34608.55859375,32052.31640625,32782.0234375,78665235202,0.010602000169456005,0.013867000117897987,0.009409000165760517,0.009770999662578106,2707003608
2021-01-04,977.058837890625,1153.189208984375,912.3053588867188,1040.2330322265625,56945985763,32810.94921875,33440.21875,28722.755859375,31971.9140625,81163475344,0.0097850002348423,0.01142099965363741,0.007877999916672707,0.009766999632120132,1372398979
2021-01-05,1041.498779296875,1129.3714599609375,986.811279296875,1100.006103515625,41535932781,31977.041015625,34437.58984375,30221.1875,33992.4296875,67547324782,0.009766999632120132,0.010219000279903412,0.00897200033068657,0.009920000098645687,687256067
2021-01-06,1101.0050048828125,1209.4285888671875,1064.2333984375,1207.1121826171875,44699914188,34013.61328125,36879.69921875,33514.03515625,36824.36328125,75289433811,0.009922999888658524,0.010854000225663185,0.009685000404715538,0.010464999824762344,749915516
2021-01-07,1208.078369140625,1282.57958984375,1167.443115234375,1225.6781005859375,40468027280,36833.875,40180.3671875,36491.19140625,39371.04296875,84762141031,0.010453999973833561,0.010532000102102757,0.009162000380456448,0.00974200014024973,520644706
2021-01-08,1225.9678955078125,1273.8275146484375,1076.08154296875,1224.1971435546875,44334826666,39381.765625,41946.73828125,36838.63671875,40797.609375,88107519480,0.009743000380694866,0.010285000316798687,0.008985999971628189,0.009846000000834465,394462164
2021-01-09,1223.740478515625,1303.871826171875,1182.2703857421875,1281.0772705078125,33233105361,40788.640625,41436.3515625,38980.875,40254.546875,61984162837,0.009832999669015408,0.010739999823272228,0.009739999659359455,0.010193999856710434,485842353
2021-01-10,1280.87109375,1347.9261474609375,1194.715576171875,1262.2467041015625,40616938053,40254.21875,41420.19140625,35984.62890625,38356.44140625,79980747690,0.010192999616265297,0.010866999626159668,0.009177000261843204,0.009859999641776085,458583519
2021-01-11,1261.6229248046875,1261.6229248046875,924.922607421875,1090.1453857421875,60733630300,38346.53125,38346.53125,30549.599609375,35566.65625,123320567399,0.009858000092208385,0.009858000092208385,0.006769999861717224,0.008834999985992908,637956958
2021-01-12,1088.5267333984375,1149.240234375,1012.76416015625,1043.4345703125,37494601692,35516.359375,36568.52734375,32697.9765625,33922.9609375,74773277909,0.008829999715089798,0.009145000018179417,0.007903999648988247,0.008062999695539474,333308457
2021-01-13,1043.740966796875,1134.3385009765625,994.549072265625,1130.7393798828125,30109792795,33915.12109375,37599.9609375,32584.66796875,37316.359375,69364315979,0.008062000386416912,0.008646000176668167,0.007786999922245741,0.008616000413894653,240079033
2021-01-14,1130.231201171875,1244.1630859375,1093.060791015625,1218.4530029296875,33410915929,37325.109375,39966.40625,36868.5625,39187.328125,63615990033,0.00861900020390749,0.010029999539256096,0.008348999544978142,0.009397000074386597,428369039
2021-01-15,1221.877197265625,1250.505859375,1090.7210693359375,1171.8345947265625,35972039310,39156.70703125,39577.7109375,34659.58984375,36825.3671875,67760757881,0.00938900001347065,0.009796000085771084,0.008460000157356262,0.009368999861180782,398965925
2021-01-16,1171.443115234375,1290.0535888671875,1157.623779296875,1233.53759765625,32319240157,36821.6484375,37864.3671875,35633.5546875,36178.140625,57706187875,0.009367000311613083,0.009530999697744846,0.009139999747276306,0.009265000000596046,258630480
2021-01-17,1233.453369140625,1265.6446533203125,1174.3885498046875,1230.1722412109375,29258032819,36163.6484375,36722.3515625,34069.3203125,35791.27734375,52359854336,0.009263000451028347,0.009367000311613083,0.008840999566018581,0.009066999889910221,254487989
2021-01-18,1230.313232421875,1259.4500732421875,1187.31103515625,1257.279541015625,25817455560,35792.23828125,37299.28515625,34883.84375,36630.07421875,49511702429,0.009069999679923058,0.00929499976336956,0.008980999700725079,0.009170999750494957,205025648
2021-01-19,1257.4345703125,1432.300048828125,1254.52294921875,1377.2958984375,47195935190,36642.234375,37755.890625,36069.8046875,36069.8046875,57244195486,0.009171999990940094,0.009612999856472015,0.009019999764859676,0.009097999893128872,249242632
2021-01-20,1375.2484130859375,1405.744140625,1243.2999267578125,1382.2740478515625,46784030909,36050.11328125,36378.328125,33570.4765625,35547.75,66834573161,0.009096000343561172,0.009153000079095364,0.008528999984264374,0.009060000069439411,220205442
2021-01-21,1382.6844482421875,1382.6844482421875,1098.4761962890625,1121.5709228515625,45932464754,35549.3984375,35552.6796875,30250.75,30825.69921875,75643067688,0.00906199961900711,0.009088999591767788,0.008061000145971775,0.008166000247001648,215419839
2021-01-22,1118.8890380859375,1271.6876220703125,1046.5965576171875,1236.51220703125,43918338506,30817.625,33811.8515625,28953.373046875,33005.76171875,77207272511,0.008165000006556511,0.008768999949097633,0.007654000073671341,0.008523999713361263,185490003
2021-01-23,1235.2679443359375,1272.151123046875,1200.893310546875,1230.9906005859375,27253895441,32985.7578125,33360.9765625,31493.16015625,32067.642578125,48354737975,0.00851999968290329,0.008808000013232231,0.00838799960911274,0.008578999899327755,154393737
2021-01-24,1231.2105712890625,1395.111328125,1225.2740478515625,1391.609375,36418163554,32064.376953125,32944.0078125,31106.685546875,32289.37890625,48643830599,0.008577999658882618,0.008950999937951565,0.008515999652445316,0.008727000094950199,162191977
