,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2019-07-01,10818.15625,12006.0751953125,10818.15625,11450.8466796875,121016337120,0.003206999972462654,0.00447099981829524,0.0031300000846385956,0.0036329999566078186,371355041,291.7646179199219,310.1393127441406,282.6947021484375,305.7005615234375,42848058106
2019-07-08,11446.5966796875,13129.529296875,10234.576171875,10256.05859375,180936684097,0.0036349999718368053,0.0036440000403672457,0.003010000102221966,0.0030139998998492956,275995540,305.7347717285156,318.2231140136719,227.2692108154297,227.57806396484375,64474442450
2019-07-15,10257.8388671875,11052.7666015625,9163.134765625,10599.10546875,157356814406,0.003019999945536256,0.0031870000530034304,0.0027719999197870493,0.0030759999062865973,228795918,227.96505737304688,235.02565002441406,193.99041748046875,225.63076782226562,59743620424
2019-07-22,10596.9482421875,10651.791015625,9252.296875,9552.8603515625,112459229432,0.0030759999062865973,0.003100000089034438,0.0027920000720769167,0.0028589998837560415,144894515,225.6986541748047,226.86257934570312,202.25289916992188,211.18655395507812,44707643476
2019-07-29,9548.1787109375,11009.20703125,9437.3359375,10970.1845703125,110790788891,0.0028589998837560415,0.002983999904245138,0.0028009999077767134,0.0029380000196397305,131074688,211.1236572265625,224.62322998046875,206.86761474609375,222.6697235107422,40040161993
2019-08-05,10960.7353515625,12273.8212890625,10960.7353515625,11523.5791015625,141427393788,0.0029380000196397305,0.0033160001039505005,0.00279600010253489,0.0028979999478906393,150046845,222.65087890625,239.11590576171875,203.79310607910156,216.09286499023438,49136843740
2019-08-12,11528.189453125,11528.189453125,9675.31640625,10345.810546875,120224711798,0.0028959999326616526,0.0029009999707341194,0.002560999942943454,0.0027230000123381615,174748394,216.055908203125,216.14256286621094,178.14256286621094,194.4935302734375,45877953733
2019-08-19,10350.283203125,10947.0419921875,9831.462890625,10138.517578125,112893851548,0.0027230000123381615,0.0028989999555051327,0.0026140001136809587,0.002662000013515353,149496061,194.5560302734375,203.56015014648438,182.68917846679688,186.84239196777344,46632300378
2019-08-26,10126.2998046875,10512.328125,9421.6298828125,9757.970703125,104346358671,0.0026519999373704195,0.002828999888151884,0.002392000053077936,0.002492000116035342,166948155,186.7355499267578,193.4421844482422,167.0714111328125,171.62942504882812,44238019253
2019-09-02,9757.4736328125,10898.76171875,9730.650390625,10441.2763671875,116441433312,0.002492000116035342,0.002724000019952655,0.002460000105202198,0.002500999951735139,222284364,171.69760131835938,182.97708129882812,168.34133911132812,181.35552978515625,45055593571
2019-09-09,10443.228515625,10450.3115234375,9980.7763671875,10347.712890625,102876391724,0.002509000012651086,0.0025100000202655792,0.002366000087931752,0.002460000105202198,239547385,181.36248779296875,190.3993377685547,176.50091552734375,189.78912353515625,45198762797
2019-09-16,10347.22265625,10386.8671875,9851.6923828125,10070.392578125,107930839412,0.002461999887600541,0.0029929999727755785,0.0024300001095980406,0.0025919999461621046,293177471,189.6893310546875,222.87168884277344,189.6893310546875,211.54537963867188,61873464397
2019-09-23,10067.962890625,10074.23828125,7895.62939453125,8104.185546875,124735468740,0.0025869999080896378,0.0026000000070780516,0.0020759999752044678,0.002222999930381775,323371070,211.7132110595703,211.84051513671875,157.1303253173828,170.50347900390625,58169155810
2019-09-30,8104.2265625,8497.6923828125,7830.7587890625,7988.15576171875,97716137179,0.0022269999608397484,0.0024969999212771654,0.002171000000089407,0.002345999935641885,298691642,170.4613494873047,185.0455322265625,167.03660583496094,173.05914306640625,45885221242
2019-10-07,7989.12060546875,8721.7802734375,7905.76611328125,8321.005859375,118550918408,0.0023419999051839113,0.0026179999113082886,0.0022899999748915434,0.0024470000062137842,336530495,172.94033813476562,195.3188018798828,171.52781677246094,182.0751495361328,56130669074
2019-10-14,8320.83203125,8410.71484375,7902.1640625,8222.078125,105710167423,0.002449000021442771,0.0029319999739527702,0.002428000094369054,0.002730000065639615,437574185,182.02847290039062,187.75987243652344,171.0050506591797,175.5343780517578,50355262089
2019-10-21,8225.115234375,10021.744140625,7446.98876953125,9551.71484375,176678165128,0.002732000080868602,0.002858000108972192,0.002389000030234456,0.0026539999525994062,635400405,175.52474975585938,195.9425048828125,157.4634246826172,184.24221801757812,65738937005
2019-10-28,9565.1015625,9805.1181640625,9028.7177734375,9235.3544921875,180364809056,0.002655999967828393,0.0027280000504106283,0.0025859999004751444,0.0026370000559836626,536270410,184.3975067138672,191.8467559814453,179.81814575195312,182.42501831054688,67116189196
2019-11-04,9235.607421875,9505.0517578125,8775.5341796875,9055.5263671875,160702732609,0.002635000040754676,0.002785000018775463,0.002575000049546361,0.0027749999426305294,605746890,182.31903076171875,193.54725646972656,181.8216094970703,189.47727966308594,65020785596
2019-11-11,9056.91796875,9081.279296875,8473.9736328125,8577.9755859375,134166660428,0.0027749999426305294,0.0027799999807029963,0.002609000075608492,0.002647999906912446,540367891,189.5029296875,190.3384246826172,179.3795623779297,185.11923217773438,53855340906
2019-11-18,8573.98046875,8653.2802734375,6936.70654296875,7047.9169921875,171626385789,0.002647999906912446,0.0027149999514222145,0.002239000052213669,0.002365000080317259,654701678,185.0414581298828,186.92715454101562,142.34410095214844,142.83470153808594,59169235619
2019-11-25,7039.97705078125,7836.10205078125,6617.1669921875,7424.29248046875,162444865040,0.0023690001107752323,0.0024739999789744616,0.0021279999054968357,0.00229199999012053,692603039,142.69700622558594,156.84840393066406,133.80233764648438,151.18572998046875,55908526365
2019-12-02,7424.0361328125,7743.431640625,7170.9228515625,7564.34521484375,121327747581,0.0022929999977350235,0.002340999897569418,0.0021649999544024467,0.0022380000445991755,454508772,151.17547607421875,153.1553955078125,145.00088500976562,151.2647247314453,46298515511
