Podcast_Title,Start_Time,End_Time,Auto_Label,Text,Coin,Sentiment
Altcoin Daily_20210427_Top 9 Altcoins with MASSIVE POTENTIAL in May! Best Cryptocurrency Projects! Get Rich in Crypto.en.vtt,00:03:01.280,00:03:16.480,ETH,of the d5 protocols beyond that eth's narrative is doing great as well ncaa champion trevor lawrence has partnered with ftx to receive his signing bonus in ethereum he's already,ETH,
Altcoin Daily_20210427_Top 9 Altcoins with MASSIVE POTENTIAL in May! Best Cryptocurrency Projects! Get Rich in Crypto.en.vtt,00:03:41.120,00:03:54.480,crypto_space,two-year notes in an inaugural sale of so-called digital bonds that harness the power of the blockchain these notes will be registered in the public ether blockchain network so this,,
Altcoin Daily_20210427_Top 9 Altcoins with MASSIVE POTENTIAL in May! Best Cryptocurrency Projects! Get Rich in Crypto.en.vtt,00:06:45.520,00:06:57.039,crypto_space,the sentiment from the people in charge is positive or neutral towards crypto currencies companies like finance centralized companies will thrive and that's why binance makes our list today beyond,,
Altcoin Daily_20210427_Top 9 Altcoins with MASSIVE POTENTIAL in May! Best Cryptocurrency Projects! Get Rich in Crypto.en.vtt,00:07:31.919,00:07:40.319,ETH,that it doesn't have to just you know do things on the ethereum ecosystem it can do things on the polka dot ecosystem it can do things in the binance,ETH,
Altcoin Daily_20210427_Top 9 Altcoins with MASSIVE POTENTIAL in May! Best Cryptocurrency Projects! Get Rich in Crypto.en.vtt,00:08:14.960,00:08:26.160,BTC,position i'm always looking for after i get a certain amount of gains taking profits into bitcoin so i make sure my bitcoin stack continues to increase but also keeping,BTC,
Altcoin Daily_20210428_Cryptocurrency in May 2021 Going Mainstream! Japan’s Nexon Buys $100M in Bitcoin + NFT Altcoin News!.en.vtt,00:06:00.240,00:06:11.039,ETH,and the move was prompted by scaling issues on ethereum the company intends to migrate some of its existing games over the flow to enable them to grow so what,ETH,
Altcoin Daily_20210428_Cryptocurrency in May 2021 Going Mainstream! Japan’s Nexon Buys $100M in Bitcoin + NFT Altcoin News!.en.vtt,00:08:17.199,00:08:24.240,BTC,sent me some bitcoin and he was like hey you guys got to cover this on your next video and it look cool so i'll have to do more digging,BTC,
"Altcoin Daily_20210429_ETHEREUM & CHAINLINK EXPLODING! MASSIVE WAVE of MONEY to FLOW into BITCOIN, & QUALITY CRYPTOCURRENCY.en.vtt",00:00:11.840,00:00:20.960,crypto_space,on in the cryptocurrency space in today's video this is one that you do not want to miss we are going to go over everything going on in the nft,,
"Altcoin Daily_20210429_ETHEREUM & CHAINLINK EXPLODING! MASSIVE WAVE of MONEY to FLOW into BITCOIN, & QUALITY CRYPTOCURRENCY.en.vtt",00:00:38.000,00:00:48.160,ETH,to talk about everything going on in the ethereum d5 space now before we get to all that let's start big picture let's talk cryptocurrency big picture let's check in,ETH,
"Altcoin Daily_20210429_ETHEREUM & CHAINLINK EXPLODING! MASSIVE WAVE of MONEY to FLOW into BITCOIN, & QUALITY CRYPTOCURRENCY.en.vtt",00:00:58.239,00:01:09.920,ETH,want to be paying attention to bitcoin ethereum and cryptocurrency taking a look at the price of bitcoin right now consolidating off its high which was about 65 000 almost,ETH,
