Podcast_Title,Start_Time,End_Time,Auto_Label,Text,Coin,Sentiment
Ade_Torrent_20201028_Bitcoin_Is_A_Scam._All_Cryptos_Are_Scams..en.vtt,00:00:00.000,00:00:10.880,BTC,bitcoin is currently enjoying a bit of a rally we've seen a price hike of about was it almost ten percent in the last couple,BTC,
Ade_Torrent_20201028_Bitcoin_Is_A_Scam._All_Cryptos_Are_Scams..en.vtt,00:00:10.880,00:00:19.760,BTC,of days of bitcoin at least went up to eight percent from what i've been looking at on the charts here and as usual with,BTC,
Ade_Torrent_20201028_Bitcoin_Is_A_Scam._All_Cryptos_Are_Scams..en.vtt,00:00:19.760,00:00:30.880,BTC,bitcoin rallying like that the cryptocurrency videos start to appear you know there's mad frenzy on social media and of course the scams start flying,BTC,
Ade_Torrent_20201028_Bitcoin_Is_A_Scam._All_Cryptos_Are_Scams..en.vtt,00:01:05.439,00:01:15.040,crypto_space,scams the scams all over the place cryptocurrency scams are even more difficult to track down than the scams of old where you know credit,,
Ade_Torrent_20201028_Bitcoin_Is_A_Scam._All_Cryptos_Are_Scams..en.vtt,00:01:23.600,00:01:32.479,BTC,back companies like paypal or american express could protect you against fraud et cetera but now with bitcoin and other such cryptocurrencies you know it's,BTC,
Ade_Torrent_20201028_Bitcoin_Is_A_Scam._All_Cryptos_Are_Scams..en.vtt,00:01:32.479,00:01:39.680,crypto_space,only a wallet transfer away and they're just gone forever especially if they don't use an exchange if they use their own wallet they can,,
Ade_Torrent_20201028_Bitcoin_Is_A_Scam._All_Cryptos_Are_Scams..en.vtt,00:01:49.040,00:01:57.840,BTC,bitcoin charts were starting to look up and they were offered some kind of money doubling scam and they fell for it even though you,BTC,
Ade_Torrent_20201028_Bitcoin_Is_A_Scam._All_Cryptos_Are_Scams..en.vtt,00:02:51.519,00:03:02.560,crypto_space,that savvy is that if they ever get contacted by anybody offering cryptocurrency investment it's a scam even if it's not a scam the correct,,
Ade_Torrent_20201028_Bitcoin_Is_A_Scam._All_Cryptos_Are_Scams..en.vtt,00:03:11.599,00:03:20.319,ETH,believe it bitcoin's a scam hive is a scam ethereum that's scam everything is a scam that's basically why i said to my parents when,ETH,
Ade_Torrent_20201028_Bitcoin_Is_A_Scam._All_Cryptos_Are_Scams..en.vtt,00:03:28.000,00:03:36.000,BTC,someone who dabbles a lot in bitcoin and other such currencies but to someone who is not savvy and someone even someone who's savvy the,BTC,
Ade_Torrent_20201028_Bitcoin_Is_A_Scam._All_Cryptos_Are_Scams..en.vtt,00:04:07.840,00:04:15.439,crypto_space,are the offers and what claims i mean there's one that was just outright ridiculous and it was this crypto apparently that could make you,,
Ade_Torrent_20201028_Bitcoin_Is_A_Scam._All_Cryptos_Are_Scams..en.vtt,00:04:30.400,00:04:37.840,BTC,already be doing it to me obviously it's a no-brainer but someone who you know has been hearing in the news about bitcoin it's been,BTC,
Ade_Torrent_20201028_Bitcoin_Is_A_Scam._All_Cryptos_Are_Scams..en.vtt,00:04:57.680,00:05:15.600,crypto_space,determined i'll see you in the next one to give yourself to give your family members that don't know much about crypto peace [Music] you,,
CNBC_20180427_Former_PayPal_CEO_Bill_Harris_Reveals_Why_He_Thinks_Bitcoin_Is_The_Biggest_Scam_In_History___CNBC.en.vtt,00:00:00.000,00:00:08.220,BTC,Bitcoin futures may be booming but our next guest says that it is a scam in an op-ed for recode this week former PayPal CEO,BTC,
CNBC_20180427_Former_PayPal_CEO_Bill_Harris_Reveals_Why_He_Thinks_Bitcoin_Is_The_Biggest_Scam_In_History___CNBC.en.vtt,00:00:08.220,00:00:15.870,crypto_space,Bill Harris called the cryptocurrency quote the greatest scam in history noting that it is a pump and dump scheme unlike anything the world has,,
CNBC_20180427_Former_PayPal_CEO_Bill_Harris_Reveals_Why_He_Thinks_Bitcoin_Is_The_Biggest_Scam_In_History___CNBC.en.vtt,00:00:30.269,00:00:36.570,crypto_space,that has been put forth for a long time it's not accepted as a means of payment there's no store value because the volatility in,,
CNBC_20180427_Former_PayPal_CEO_Bill_Harris_Reveals_Why_He_Thinks_Bitcoin_Is_The_Biggest_Scam_In_History___CNBC.en.vtt,00:00:36.570,00:00:45.210,BTC,price it has no intrinsic value is it possible though bill that perhaps bitcoin has not yet found its use as a cryptocurrency yet and,BTC,
CNBC_20180427_Former_PayPal_CEO_Bill_Harris_Reveals_Why_He_Thinks_Bitcoin_Is_The_Biggest_Scam_In_History___CNBC.en.vtt,00:01:11.010,00:01:19.979,BTC,you you probably hear a lot of the venture capitalists expound on the virtues of Bitcoin and blockchain etcetera is there anything about this that,BTC,
CNBC_20180427_Former_PayPal_CEO_Bill_Harris_Reveals_Why_He_Thinks_Bitcoin_Is_The_Biggest_Scam_In_History___CNBC.en.vtt,00:01:26.520,00:01:34.409,BTC,not a scam but yes everyone's drinking the kool-aid I think you know just a couple of days ago somebody relatively prominent said bitcoin is,BTC,
CNBC_20180427_Former_PayPal_CEO_Bill_Harris_Reveals_Why_He_Thinks_Bitcoin_Is_The_Biggest_Scam_In_History___CNBC.en.vtt,00:01:47.700,00:01:57.000,BTC,that in four years it'll appreciate to the point where the Bitcoin or well Bitcoin and all cyber are crypto currencies will be worth about,BTC,
CNBC_20180427_Former_PayPal_CEO_Bill_Harris_Reveals_Why_He_Thinks_Bitcoin_Is_The_Biggest_Scam_In_History___CNBC.en.vtt,00:01:57.000,00:02:08.670,crypto_space,half of the entire S&amp;P 500 you know there's just there's no relation between value and usefulness and on the usefulness side let me just,,
