Podcast_Title,Start_Time,End_Time,Auto_Label,Text,Coin,Sentiment
Crypto_Daily_Trade_Signals_20210228_Bitcoin_&_Ethereum_About_To_Break_Out!!!!___Big_Pump!!.en.vtt,00:00:00.000,00:00:12.559,BTC,hey everybody this is daryl from daily crypto trade signals and here we're going to talk about something really amazing bitcoin is about to pump the team is about to,BTC,
Crypto_Daily_Trade_Signals_20210228_Bitcoin_&_Ethereum_About_To_Break_Out!!!!___Big_Pump!!.en.vtt,00:00:32.320,00:00:42.399,ETH,uh so if you look at the charts uh ethereum and bitcoin are about to uh break out uh you can expect by wednesday uh you can start to see,ETH,
Crypto_Daily_Trade_Signals_20210228_Bitcoin_&_Ethereum_About_To_Break_Out!!!!___Big_Pump!!.en.vtt,00:00:53.120,00:01:04.320,ETH,in the us and europe and uh things are looking good so keep an eye on bitcoin keep an eye on ethereum and by wednesday we should see a huge,ETH,
Crypto_Daily_Trade_Signals_20210228_Bitcoin_&_Ethereum_About_To_Break_Out!!!!___Big_Pump!!.en.vtt,00:01:04.320,00:01:15.200,ETH,pump uh definitely 15th of uh march everything should be back up where it was bitcoin should be about 55 000. i'm pretty sure that ethereum is going to be,ETH,
Crypto_Daily_Trade_Signals_20210305_WARNING_FOR__BITCOIN!__BUY_ON_THE_DIPS!!!.en.vtt,00:00:00.000,00:00:11.679,BTC,yeah the you know bitcoin price is still going down uh beautiful day here in asia where i am right now uh i'm at my resort here in uh in,BTC,
Crypto_Daily_Trade_Signals_20210305_WARNING_FOR__BITCOIN!__BUY_ON_THE_DIPS!!!.en.vtt,00:00:21.600,00:00:29.679,BTC,up tomorrow uh bitcoin now is a good chance to you know if we look at crv it's uh it's gone down around 12 it's a good a good buy,BTC,
Crypto_Daily_Trade_Signals_20210305_WARNING_FOR__BITCOIN!__BUY_ON_THE_DIPS!!!.en.vtt,00:00:37.680,00:00:50.320,ETH,the dip i suggest everybody does that as well uh you know buy some more bitcoin and ethereum ethereum has also gone down it's around 14 14 50 now uh,ETH,
Crypto_Daily_Trade_Signals_20210307_ETHEREUM_BREAKING__OUT!!!🔥🔥_(ETH)_Ethereum__Price_Predictions..en.vtt,00:00:00.000,00:00:11.759,crypto_space,hey this is daryl from uh crypto daily trade signals i am daryl i'm always daryl if you like crypto and you like money then you're in the right place,,
Crypto_Daily_Trade_Signals_20210307_ETHEREUM_BREAKING__OUT!!!🔥🔥_(ETH)_Ethereum__Price_Predictions..en.vtt,00:00:11.759,00:00:20.800,ETH,just one of the guys to give you an update uh on the ethereum uh some ta will uh follow uh in the next couple days as you know we,ETH,
Crypto_Daily_Trade_Signals_20210307_ETHEREUM_BREAKING__OUT!!!🔥🔥_(ETH)_Ethereum__Price_Predictions..en.vtt,00:00:20.800,00:00:36.480,ETH,got the eip 1559 that was recently uh approved that's coming out uh july 24th at london hardport uh you know as this makes ethereum deflationary this could also create,ETH,
Crypto_Daily_Trade_Signals_20210307_ETHEREUM_BREAKING__OUT!!!🔥🔥_(ETH)_Ethereum__Price_Predictions..en.vtt,00:00:36.480,00:00:49.000,ETH,the price to skyrocket and pump we've got the uh 1.9 billion stimulus package coming out of the u.s so right now in asia ethereum has hit a high of,ETH,
Crypto_Daily_Trade_Signals_20210309_🚨$5000_Ethereum_Coming!_THE__MOST_INSANE_Cryptocurrency_Price_Predictions._5_Coins_For_This_Week!.en.vtt,00:00:00.000,00:00:15.200,crypto_space,[Music] hey everybody this is daryl from crypto daily trading signals i am daryl i'm always daryl and today we got a very interesting show for you today we're going,,
Crypto_Daily_Trade_Signals_20210309_🚨$5000_Ethereum_Coming!_THE__MOST_INSANE_Cryptocurrency_Price_Predictions._5_Coins_For_This_Week!.en.vtt,00:00:15.200,00:00:28.160,ETH,to talk about ethereum and give an update on ethereum right now ethereum is uh over the last seven days outperforming bitcoin by 20 so the advice there is buy,ETH,
Crypto_Daily_Trade_Signals_20210309_🚨$5000_Ethereum_Coming!_THE__MOST_INSANE_Cryptocurrency_Price_Predictions._5_Coins_For_This_Week!.en.vtt,00:00:28.160,00:00:42.960,ETH,ethereum on the dips and hold we should see some massive upside soon ethereum should be hitting 2000 by wednesday wednesday the thursday level and then later we're gonna dive,ETH,
Crypto_Daily_Trade_Signals_20210309_🚨$5000_Ethereum_Coming!_THE__MOST_INSANE_Cryptocurrency_Price_Predictions._5_Coins_For_This_Week!.en.vtt,00:01:55.360,00:02:08.800,ETH,mean in the last two days i'm up almost uh 75 on trading perpetual uh inverse ethereum us dollars so if you like this video and you like the content,ETH,
Crypto_Daily_Trade_Signals_20210309_🚨$5000_Ethereum_Coming!_THE__MOST_INSANE_Cryptocurrency_Price_Predictions._5_Coins_For_This_Week!.en.vtt,00:02:08.800,00:02:22.480,crypto_space,smash that like and subscribe let's dive right in to the technicals hey this is daryl i'm always daryl this is daily crypto trade signals and i've got a really,,
Crypto_Daily_Trade_Signals_20210309_🚨$5000_Ethereum_Coming!_THE__MOST_INSANE_Cryptocurrency_Price_Predictions._5_Coins_For_This_Week!.en.vtt,00:02:22.480,00:02:31.200,ETH,jam-packed video for you today this is going to be totally wow we're going to talk about bitcoin we're going to talk about ethereum we're going to talk about some,ETH,
Crypto_Daily_Trade_Signals_20210309_🚨$5000_Ethereum_Coming!_THE__MOST_INSANE_Cryptocurrency_Price_Predictions._5_Coins_For_This_Week!.en.vtt,00:02:31.200,00:02:42.480,crypto_space,moonboy targets some really great coins that i think you guys should look into and accumulate and you know some of the most insane cryptocurrency price predictions 2021 in this,,
Crypto_Daily_Trade_Signals_20210309_🚨$5000_Ethereum_Coming!_THE__MOST_INSANE_Cryptocurrency_Price_Predictions._5_Coins_For_This_Week!.en.vtt,00:03:46.080,00:03:58.319,BTC,audio these coins are going to continue to pump during this bull run uh we don't even we're not even started the old point season yet bitcoin's dominance uh is,BTC,
Crypto_Daily_Trade_Signals_20210309_🚨$5000_Ethereum_Coming!_THE__MOST_INSANE_Cryptocurrency_Price_Predictions._5_Coins_For_This_Week!.en.vtt,00:05:38.880,00:05:52.960,ETH,i have a huge bag of eth and i'm so happy right now that this uh this coin eth with the you know the london fork the eip 1599 we've,ETH,
Crypto_Daily_Trade_Signals_20210309_🚨$5000_Ethereum_Coming!_THE__MOST_INSANE_Cryptocurrency_Price_Predictions._5_Coins_For_This_Week!.en.vtt,00:05:52.960,00:06:08.000,ETH,got the stimulus package coming i mean eth has been just pumping it's been phenomenal uh it's outperforming bitcoin already by 20 so we expect large large moves on these,ETH,
Crypto_Daily_Trade_Signals_20210309_🚨$5000_Ethereum_Coming!_THE__MOST_INSANE_Cryptocurrency_Price_Predictions._5_Coins_For_This_Week!.en.vtt,00:06:19.840,00:06:32.240,BTC,500 bucks and buy some dodge and if this thing moves to a dollar that's a home run guys you've made some serious gains so let's talk about uh bitcoin,BTC,
Crypto_Daily_Trade_Signals_20210309_🚨$5000_Ethereum_Coming!_THE__MOST_INSANE_Cryptocurrency_Price_Predictions._5_Coins_For_This_Week!.en.vtt,00:06:32.240,00:06:44.000,BTC,how are we looking uh bitcoin in the short term as you all know bitcoin is banging against this resistance at 52 533. i mean i'm getting a headache i'm,BTC,
Crypto_Daily_Trade_Signals_20210309_🚨$5000_Ethereum_Coming!_THE__MOST_INSANE_Cryptocurrency_Price_Predictions._5_Coins_For_This_Week!.en.vtt,00:08:15.199,00:08:23.919,crypto_space,that way you don't get wrecked and you don't lose all your money once again this is daryl for crypto daily trade signals and i'll be sending you another video,,
Crypto_Daily_Trade_Signals_20210311_MASSIVE_CUP_&_HANDLE_FORMING!_BITCOIN_BREAK_OUT_INCOMING_!.en.vtt,00:00:00.000,00:00:10.719,BTC,hey everybody this is uh daryl from daily crypto trade signals i am daryl and i'm always daryl i have an emergency video for you uh btc is forming a,BTC,
"Crypto_Daily_Trade_Signals_20210314_BITCOIN_GOING_TO_EXPLODE_TO_$70,000_!_DO_NOT_MISS_IT!_Huge_Profits..en.vtt",00:00:00.000,00:00:10.960,BTC,hey everybody this is uh daryl from daily crypto trade signals and i just wanted to give you an update on uh where we are with bitcoin uh bitcoin by,BTC,
"Crypto_Daily_Trade_Signals_20210314_BITCOIN_GOING_TO_EXPLODE_TO_$70,000_!_DO_NOT_MISS_IT!_Huge_Profits..en.vtt",00:00:10.960,00:00:21.520,crypto_space,the end of uh the week definitely 70 000 incoming uh the markets are very bullish right now uh we had this cme gap uh that just happened and it,,
"Crypto_Daily_Trade_Signals_20210314_BITCOIN_GOING_TO_EXPLODE_TO_$70,000_!_DO_NOT_MISS_IT!_Huge_Profits..en.vtt",00:00:21.520,00:00:35.760,BTC,brought bitcoin down to uh 58 750. um so we're looking really bullish on bitcoin definitely 70 000 by the end of the week uh like i just said keep,BTC,
"Crypto_Daily_Trade_Signals_20210314_BITCOIN_GOING_TO_EXPLODE_TO_$70,000_!_DO_NOT_MISS_IT!_Huge_Profits..en.vtt",00:00:44.399,00:00:58.160,ETH,talk about ethereum uh ethereum looks like it's forming uh a soon breakout so we can expect a breakout very soon and recently the miners have tried to stage a,ETH,
"Crypto_Daily_Trade_Signals_20210314_BITCOIN_GOING_TO_EXPLODE_TO_$70,000_!_DO_NOT_MISS_IT!_Huge_Profits..en.vtt",00:00:58.160,00:01:11.200,ETH,coup and said they're going to take 51 percent of the hash power and this and that and in reaction to that the ethereum 2.0 project has been pushed ahead,ETH,
"Crypto_Daily_Trade_Signals_20210314_BITCOIN_GOING_TO_EXPLODE_TO_$70,000_!_DO_NOT_MISS_IT!_Huge_Profits..en.vtt",00:01:11.200,00:01:21.520,crypto_space,so this is the kind of uh uh stave off or offset the miner so i think the miner is going to be worse off than they were before but,,
"Crypto_Daily_Trade_Signals_20210314_BITCOIN_GOING_TO_EXPLODE_TO_$70,000_!_DO_NOT_MISS_IT!_Huge_Profits..en.vtt",00:01:21.520,00:01:31.759,ETH,definitely you know you can feel a lot of tension from the miners creating some disruptions in the network and will this have a negative impact on the ethereum price,ETH,
