Podcast_Title,Start_Time,End_Time,Auto_Label,Text,Coin,Sentiment
"Lex_Fridman_20200316_Vitalik_Buterin_-_Ethereum,_Cryptocurrency,_and_the_Future_of_Money___Lex_Fridman_Podcast_#80.en.vtt",00:05:14.440,00:05:23.800,BTC,name by which we know the person who originally came up with Bitcoin so the reason why I say the name by which we know is that this is a,BTC,
"Lex_Fridman_20200316_Vitalik_Buterin_-_Ethereum,_Cryptocurrency,_and_the_Future_of_Money___Lex_Fridman_Podcast_#80.en.vtt",00:07:18.940,00:07:27.970,BTC,or the first transaction of bitcoins yes the first transaction of ich werde was between sister was she had a health in him do you think he knew who Satoshi,BTC,
"Lex_Fridman_20200316_Vitalik_Buterin_-_Ethereum,_Cryptocurrency,_and_the_Future_of_Money___Lex_Fridman_Podcast_#80.en.vtt",00:20:40.770,00:20:51.840,crypto_space,that's big there's definitely many cases where people will do things other than things that maximize how much money they have and that happens all the time but like though,,
"Lex_Fridman_20200316_Vitalik_Buterin_-_Ethereum,_Cryptocurrency,_and_the_Future_of_Money___Lex_Fridman_Podcast_#80.en.vtt",00:37:24.420,00:37:36.060,crypto_space,one virtual computer created by this a bunch of these of nodes in the network and the reason why the term blockchain is used is because the data structure that,,
"Lex_Fridman_20200316_Vitalik_Buterin_-_Ethereum,_Cryptocurrency,_and_the_Future_of_Money___Lex_Fridman_Podcast_#80.en.vtt",00:48:30.280,00:48:41.120,BTC,increasingly work on software projects and I traveled around the world for about six months and just going to different Bitcoin communities like I went to first in New Hampshire,BTC,
"Lex_Fridman_20200316_Vitalik_Buterin_-_Ethereum,_Cryptocurrency,_and_the_Future_of_Money___Lex_Fridman_Podcast_#80.en.vtt",00:48:50.480,00:49:00.920,BTC,when I was in Israel there were some kind of very smart teams there that were working on ideas that people were starting to kind of called Bitcoin 2.0 so,BTC,
"Lex_Fridman_20200316_Vitalik_Buterin_-_Ethereum,_Cryptocurrency,_and_the_Future_of_Money___Lex_Fridman_Podcast_#80.en.vtt",00:56:24.200,00:56:35.540,crypto_space,way to looking at the human side of things is there a way to optimize this aspect of the cryptocurrency world it seems that there is from my perspective there's,,
"Lex_Fridman_20200316_Vitalik_Buterin_-_Ethereum,_Cryptocurrency,_and_the_Future_of_Money___Lex_Fridman_Podcast_#80.en.vtt",01:20:27.099,01:20:41.169,crypto_space,supply specific things supply yes what's what's the idea and theorem doesn't but can you clarify just in the comment you just made is aetherium qualified to the kind of,,
"Lex_Fridman_20200316_Vitalik_Buterin_-_Ethereum,_Cryptocurrency,_and_the_Future_of_Money___Lex_Fridman_Podcast_#80.en.vtt",01:21:01.989,01:21:15.880,crypto_space,example like baseball that Dai and whoa what's stable coins is it a type of cryptocurrency it is the type of cryptocurrency it's um a type of cryptocurrency that's issued,,
"Lex_Fridman_20200316_Vitalik_Buterin_-_Ethereum,_Cryptocurrency,_and_the_Future_of_Money___Lex_Fridman_Podcast_#80.en.vtt",01:21:15.880,01:21:27.400,crypto_space,by a smart contract one of these aetherium computer programs that where the smart contract holds a bunch of ether and then it is basically look that people deposit and,,
"Lex_Fridman_20200316_Vitalik_Buterin_-_Ethereum,_Cryptocurrency,_and_the_Future_of_Money___Lex_Fridman_Podcast_#80.en.vtt",01:31:02.570,01:31:12.889,crypto_space,like making something that's actually successful and then you know there's a lot of different categories of blockchain then you have project in terms of what it's trying to do,,
Lex_Fridman_20210325_Anthony_Pompliano_-_Bitcoin___Lex_Fridman_Podcast_#171.en.vtt,00:02:11.440,00:02:24.720,ETH,ride as hunter as thompson said whether you pay for that ticket with bitcoin ethereum the dollar gold seashells a beer or just a good old smile this is the,ETH,
Lex_Fridman_20210325_Anthony_Pompliano_-_Bitcoin___Lex_Fridman_Podcast_#171.en.vtt,00:29:30.080,00:29:37.760,BTC,accomplish the same thing in two different ways so bitcoin is seen i think as a digital currency right kind of the idea that this is going to ascend to,BTC,
Lex_Fridman_20210325_Anthony_Pompliano_-_Bitcoin___Lex_Fridman_Podcast_#171.en.vtt,00:30:26.080,00:30:35.279,ETH,the the technical security of a blockchain so when you look at let's say um bitcoin versus ethereum right bitcoin has decided and that community has decided security is the,ETH,
Lex_Fridman_20210325_Anthony_Pompliano_-_Bitcoin___Lex_Fridman_Podcast_#171.en.vtt,00:31:27.360,00:31:32.000,BTC,to or a group of people wanted to do something on bitcoin they felt like they couldn't do it and so they said hey we're going to go create something,BTC,
Lex_Fridman_20210325_Anthony_Pompliano_-_Bitcoin___Lex_Fridman_Podcast_#171.en.vtt,00:31:46.240,00:31:52.960,BTC,lot of dumb ideas people are trying to build around bitcoin there's also a lot of really really great ideas that people trying to build around bitcoin same thing in,BTC,
Lex_Fridman_20210325_Anthony_Pompliano_-_Bitcoin___Lex_Fridman_Podcast_#171.en.vtt,00:34:25.839,00:34:33.839,crypto_space,money it was outside the system and no one could create more of it the reason why that's important is because that optimization for store of value served as the,,
Lex_Fridman_20210325_Anthony_Pompliano_-_Bitcoin___Lex_Fridman_Podcast_#171.en.vtt,00:44:02.400,00:44:12.000,crypto_space,for americans and for many people in the world but you kind of have a vision you you paint a picture of a future where potentially we move to cryptocurrency,,
Lex_Fridman_20210325_Anthony_Pompliano_-_Bitcoin___Lex_Fridman_Podcast_#171.en.vtt,00:45:07.839,00:45:16.720,BTC,general and so when you start to look at bitcoin specifically i think that what you're seeing is you're seeing a generational gap where young people say i grew up,BTC,
Lex_Fridman_20210325_Anthony_Pompliano_-_Bitcoin___Lex_Fridman_Podcast_#171.en.vtt,00:52:44.960,00:52:55.760,BTC,they differentiate is the gold communities believes that it's the analog application of sound money right the physical gold that is the solution the bitcoin community believes the digital application,BTC,
Lex_Fridman_20210325_Anthony_Pompliano_-_Bitcoin___Lex_Fridman_Podcast_#171.en.vtt,00:52:55.760,00:53:02.319,BTC,of sound money bitcoin can you find sound money by the way someone is just outside the system and no one can create more of it so nobody controls it,BTC,
Lex_Fridman_20210325_Anthony_Pompliano_-_Bitcoin___Lex_Fridman_Podcast_#171.en.vtt,00:58:13.119,00:58:24.880,crypto_space,but it it feels like pretty sure we're mortal and in that sense the scarcity there gives value to time it's fascinating to think about all the thought experiments here,,
Lex_Fridman_20210325_Anthony_Pompliano_-_Bitcoin___Lex_Fridman_Podcast_#171.en.vtt,00:59:36.400,00:59:47.200,crypto_space,be able to acquire an asset that not only will hold the value right the store of value over time but it will actually appreciate over time and so when,,
