Podcast_Title,Start_Time,End_Time,Auto_Label,Text,Coin,Sentiment
Web3_Labs_20210214_This_Week_In_Blockchain_on_15th_February_2021_with_Conor_Svensson.en.vtt,00:01:56.399,00:02:06.640,ETH,dollars on day one bitcoin futures were launched a couple of years ago but you know this recognition of ethereum being used within cme for trading and the response from,ETH,
Web3_Labs_20210214_This_Week_In_Blockchain_on_15th_February_2021_with_Conor_Svensson.en.vtt,00:04:09.120,00:04:20.239,ETH,very widely used for people who actually want to interact with blockchain applications on the ethereum blockchain it's it's a wallet that runs in people's browsers and they also released,ETH,
Web3_Labs_20210214_This_Week_In_Blockchain_on_15th_February_2021_with_Conor_Svensson.en.vtt,00:05:50.320,00:06:00.560,crypto_space,blockchain as what are called non-fungible tokens which are basically tokens that represent one of these kitties and they can be bought and traded and exchanged in exchange they were,,
Web3_Labs_20210214_This_Week_In_Blockchain_on_15th_February_2021_with_Conor_Svensson.en.vtt,00:06:00.560,00:06:09.600,ETH,created by a company called dapper labs dapper labs weren't happy with the performance of the ethereum blockchain so then they started creating their own blockchain called the flow blockchain,ETH,
Web3_Labs_20210214_This_Week_In_Blockchain_on_15th_February_2021_with_Conor_Svensson.en.vtt,00:06:59.120,00:07:08.880,crypto_space,you know these indicators although we're not here to talk about cryptocurrency they do talk to the overall adoption and interest in crypto assets and uh applications that have been,,
Web3_Labs_20210228_This_Week_In_Blockchain_on_1st_March_2021_with_Conor_Svensson.en.vtt,00:00:40.000,00:00:51.520,ETH,year the total value of crypto assets on their platform represented 11.1 of the total market capitalization of all crypto assets the breakdown of those assets between bitcoin ethereum and,ETH,
Web3_Labs_20210228_This_Week_In_Blockchain_on_1st_March_2021_with_Conor_Svensson.en.vtt,00:01:40.560,00:01:50.640,BTC,half of which is now in bitcoin tether and bitfenix uh that that the teve stable coin and bitfenix uh an exchange operator had to pay a fine of 18.5,BTC,
Web3_Labs_20210228_This_Week_In_Blockchain_on_1st_March_2021_with_Conor_Svensson.en.vtt,00:02:21.680,00:02:32.400,crypto_space,in terms of other enterprise news bosch have announced that they're going to be working with fetch.ai on launching a blockchain network to support their economy of things this month,,
Web3_Labs_20210228_This_Week_In_Blockchain_on_1st_March_2021_with_Conor_Svensson.en.vtt,00:04:19.759,00:04:28.800,ETH,this brings us back to the trans transaction fee and scaling issues for ethereum and in the ethereum landscape one of the things that's getting a lot of air time,ETH,
Web3_Labs_20210228_This_Week_In_Blockchain_on_1st_March_2021_with_Conor_Svensson.en.vtt,00:05:38.400,00:05:46.880,ETH,address the congestion of the public ethereum network and things are really starting to heat up but one of the things that was announced this week was that the vc,ETH,
Web3_Labs_20210228_This_Week_In_Blockchain_on_1st_March_2021_with_Conor_Svensson.en.vtt,00:07:04.560,00:07:14.800,ETH,through the platform the interesting thing that about binance smart chain versus ethereum is that although binary smart chain is a public network it only has 21 validator nodes running,ETH,
Web3_Labs_20210228_This_Week_In_Blockchain_on_1st_March_2021_with_Conor_Svensson.en.vtt,00:09:05.120,00:09:13.360,BTC,first time ever bitcoin and ether for a set of cherry blossom prints he's created these will be three thousand dollars each and the number of prints will be dictated,BTC,
"Web3_Labs_20210307_This_Week_In_Blockchain_on_8th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:01:32.320,00:01:44.799,crypto_space,ripple over unlicensed security offerings and lassen claims that the sec cannot substantiate these claims this has had a significant effect on ripple's crypto cryptocurrency uh xrp um which has,,
"Web3_Labs_20210307_This_Week_In_Blockchain_on_8th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:01:56.479,00:02:07.520,crypto_space,listing a ripple token for trading john mcafee has also been charged again this time with crypto fraud alleging that he made 13 million from his coin of the day,,
"Web3_Labs_20210307_This_Week_In_Blockchain_on_8th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:02:28.560,00:02:36.720,BTC,going to start paying their ceo peter wall in bitcoin this is the first public company ceo to do this so it'll be interesting to see if other companies start,BTC,
"Web3_Labs_20210307_This_Week_In_Blockchain_on_8th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:03:37.599,00:03:47.040,ETH,burned that the actual value of the remaining ether in the network goes up for holders amazon have also announced their general availability of ethereum on the amazon managed blockchain,ETH,
"Web3_Labs_20210307_This_Week_In_Blockchain_on_8th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:03:47.040,00:03:58.720,ETH,amazon managed blockchain was first launched over two years ago where they supported hyperledger fabric deployed blockchains and this support now for ethereum enables anyone to use amazon's web service,ETH,
"Web3_Labs_20210314_This_Week_In_Blockchain_on_15th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:01:01.120,00:01:09.920,BTC,market like bitcoin did for the financial markets with this in mind though you know where we are right now it's capturing a tiny fraction of what is possible and,BTC,
"Web3_Labs_20210314_This_Week_In_Blockchain_on_15th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:02:01.280,00:02:10.640,BTC,exception though is tesla was missing from it which is somewhat surprising given the number of given how significant a position they took in bitcoin earlier on this year microsoft,BTC,
"Web3_Labs_20210314_This_Week_In_Blockchain_on_15th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:03:05.360,00:03:14.000,BTC,on this since 2017 and has slowly built the infrastructure up during the past few years the system is based on the bitcoin a protocol and uses something called sidetree,BTC,
"Web3_Labs_20210314_This_Week_In_Blockchain_on_15th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:03:14.000,00:03:23.200,crypto_space,on top of it where they store the records of transactions to the blockchain metoo a chinese photo retouching app listed in hong kong has also announced the purchase of,,
"Web3_Labs_20210314_This_Week_In_Blockchain_on_15th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:03:54.159,00:04:04.480,crypto_space,had ones that were dedicated for cryptocurrency miners and then other ones that were dedicated for gamers but unfortunately the the crypto miners have found a way to take the,,
"Web3_Labs_20210314_This_Week_In_Blockchain_on_15th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:04:34.000,00:04:43.600,ETH,of the things that has been announced this week is by the the protocol maker dao who produce one of the leading stable coins on the ethereum network they've actually,ETH,
"Web3_Labs_20210314_This_Week_In_Blockchain_on_15th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:06:24.160,00:06:34.880,crypto_space,value-add services on top of the blockchain in the case of the keep network they provide a protocol for privately storing data offline and the new cipher protocol they provide,,
"Web3_Labs_20210314_This_Week_In_Blockchain_on_15th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:06:56.000,00:07:06.560,crypto_space,governance that enables them to actually sort of come together as companies in the world of blockchains and decentralized organizations this is very significant just because it's one of the,,
"Web3_Labs_20210314_This_Week_In_Blockchain_on_15th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:07:16.080,00:07:26.319,crypto_space,has surged 50 in one week becoming the first d5 adapt token to make it into the top 10 of the largest cryptos by market capitalization one of the fascinating,,
"Web3_Labs_20210314_This_Week_In_Blockchain_on_15th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:10:37.040,00:10:45.680,crypto_space,is certainly you know one valid argument that you can have here in terms of the metrics the crypto market cap is up 16 this week so a total of,,
"Web3_Labs_20210321_This_Week_In_Blockchain_on_22nd_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:01:22.159,00:01:32.240,crypto_space,happen in that market and south korea is a very active crypto trading community there we've also seen a greyscale investments launch five new investments trust this includes now support,,
"Web3_Labs_20210321_This_Week_In_Blockchain_on_22nd_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:01:40.400,00:01:51.280,BTC,otc markets morgan stanley has become the first u.s bank to offer its wealthy clients access to three funds that enable ownership of bitcoin so this isn't like with stocks,BTC,
"Web3_Labs_20210321_This_Week_In_Blockchain_on_22nd_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:01:51.280,00:01:59.360,BTC,that are actually linked to bitcoin this is actually funds that invest directly in the cryptocurrencies two of these are from galaxy digital um while the third is a joint,BTC,
"Web3_Labs_20210321_This_Week_In_Blockchain_on_22nd_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:03:44.879,00:03:55.920,ETH,mentioned meitu the the chinese image editing app which is incredibly popular they've bought more bitcoin and ethereum increasing their overall holdings now to 90 million it's not clear at,ETH,
"Web3_Labs_20210321_This_Week_In_Blockchain_on_22nd_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:04:37.440,00:04:46.160,ETH,the big criticisms right now with the public ethereum network that it is so expensive to transact on however several miners have voiced support for coordinated action against this and,ETH,
"Web3_Labs_20210321_This_Week_In_Blockchain_on_22nd_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:05:12.160,00:05:22.560,ETH,force by the ethereum mining community in the world of d5 we've also seen d5 platforms pancake swap and cream finance they were hit with domain attacks by hackers this,ETH,
"Web3_Labs_20210321_This_Week_In_Blockchain_on_22nd_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:05:39.440,00:05:50.000,ETH,decentralized exchange sushi swap has launched on the avalanche blockchain platform this has been enabled via avalanche's ethereum bridge which they launched last month where in effect what you can,ETH,
"Web3_Labs_20210321_This_Week_In_Blockchain_on_22nd_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:06:06.000,00:06:14.560,ETH,blockchains trying to eat into ethereum's market share we saw it previously as well with binance smart chain where they launched the ethereum compatible chain and this is a similar,ETH,
"Web3_Labs_20210321_This_Week_In_Blockchain_on_22nd_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:06:44.240,00:06:55.199,crypto_space,collectibles are created and sold has raised the series a of 23 million backed by some of the big names in the crypto space including uh andreessen horowitz they've also,,
"Web3_Labs_20210321_This_Week_In_Blockchain_on_22nd_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:06:55.199,00:07:09.360,ETH,had investment historically too from dallas mavericks owner an ethereum enthusiast mark cuban angel investor naval ravikant podcast host and personality tim ferriss and metapurse the fund owned by the,ETH,
"Web3_Labs_20210321_This_Week_In_Blockchain_on_22nd_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:07:35.680,00:07:43.680,ETH,typically resides on some sort of decentralized file store you have the ownership of the asset which often lives as a smart contract on the ethereum blockchain and then you,ETH,
"Web3_Labs_20210328_This_Week_In_Blockchain_on_29th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:02:34.800,00:02:44.080,BTC,2015 and 2018. in other news uh elon musk has now said that you can buy a tesla using uh your bitcoin and the payments that are actually processed in,BTC,
"Web3_Labs_20210328_This_Week_In_Blockchain_on_29th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:02:53.760,00:03:02.480,BTC,and so on as using bitcoin as a payment option in terms of legislation in india there's been changes whereby indian companies now have to disclose their crypto holdings and,BTC,
"Web3_Labs_20210328_This_Week_In_Blockchain_on_29th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:03:38.799,00:03:47.440,crypto_space,social crypto exchange where users can buy and sell tokens based on people's reputations including tokens for people who are not on the platform for those of you who have,,
"Web3_Labs_20210328_This_Week_In_Blockchain_on_29th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:05:56.000,00:06:06.240,BTC,in enterprise microsoft have announced the completion of their ion uh v1 uh which is launched on the bitcoin mainnet so this is their decentralized identity platform that we spoke,BTC,
"Web3_Labs_20210328_This_Week_In_Blockchain_on_29th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:07:21.280,00:07:34.400,BTC,comfortable uh with bitcoin and cryptocurrencies they say on the job description uh they've also auctioned four special edition nfts where they they managed to sell for just under 450,BTC,
"Web3_Labs_20210328_This_Week_In_Blockchain_on_29th_March_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:08:05.680,00:08:14.080,crypto_space,and uh the buyer was someone called cena estavi who's the ceo of bridge oracle which is a public oracle system that runs on the tron blockchain network in other,,
"Web3_Labs_20210404_This_Week_In_Blockchain_on_5th_April_with_Conor_Svensson_-_Crypto,_DeFi,_NFT,_Enterprise.en.vtt",00:00:00.000,00:00:11.519,crypto_space,hi i'm connor svensson founder and ceo of web3 labs and this is your week in blockchain on monday the 5th of april 2021. this week we're going to be,,
