Podcast_Title,Start_Time,End_Time,Auto_Label,Text,Coin,Sentiment
altcoin_daily_2021-06-01,00:04:45.440,00:04:56.080,BTC,below 3 200 but i remember at the time for months and months everybody was saying you're foolish if you're buying bitcoin at 3 000 i'm going to wait for,BTC,
altcoin_daily_2021-06-01,00:06:24.639,00:06:32.080,crypto_space,right now by the way guys if you're getting value in this video give it a like comment below that really helps us out or even feel free to post,,
altcoin_daily_2021-06-01,00:09:02.959,00:09:12.240,BTC,more true or more bullish now that they've probably bought low for instance this bitcoin actually uses low for instance this bitcoin actually way less energy than the banking system,BTC,
altcoin_daily_2021-06-01,00:12:24.560,00:12:32.639,ETH,outperform eth he says i've got no clue whether cardano is going to work or polka dot is going to work or get network adoption so i don't take a,ETH,
altcoin_daily_2021-06-03,00:00:00.000,00:00:14.719,DOGE,all right welcome back everybody to altcoin daily my name is aaron huge news today huge news in today's video we're going to be covering many different coins including dogecoin,DOGE,
altcoin_daily_2021-06-03,00:00:29.039,00:00:41.200,crypto_space,right here again check the timestamps below stay informed subscribe to the channel if you're new this is the time that you want to be paying attention to cryptocurrency it's,,
altcoin_daily_2021-06-03,00:00:56.879,00:01:12.080,crypto_space,the biggest search engines online behemoths in the world has lifted its 2018 ban on crypto currency advertising this will be effective august 3rd this is huge let's find out,,
altcoin_daily_2021-06-03,00:01:26.240,00:01:38.240,crypto_space,they said this beginning august 3rd services they said this beginning august advertisers offering cryptocurrency exchanges and wallets targeting the united states may advertise those products and services when they,,
altcoin_daily_2021-06-03,00:01:38.240,00:01:46.159,crypto_space,meet the following requirements and are certified by google so they do have to meet certain by google so they do have to meet requirements crypto companies that are still,,
altcoin_daily_2021-06-03,00:01:46.159,00:01:57.439,crypto_space,requirements crypto companies that are banned and perhaps this is for the best our initial coin offerings defy trading protocols any kind of advertisements where people are trying to give,,
altcoin_daily_2021-06-03,00:06:55.919,00:07:05.199,DOGE,forward talk about bitcoin ethereum cardano and doge but first of all a little bit of perspective people this is just a reminder that although the market you know a,DOGE,
altcoin_daily_2021-06-03,00:08:10.879,00:08:22.400,BTC,amounts of bitcoin people stacking bitcoin harder than ever very very bullish and even the big players canada's first bitcoin etf bought the dip canada's first bitcoin etf bought the,BTC,
altcoin_daily_2021-06-03,00:08:52.240,00:09:04.640,ETH,holders have increased 8.16 million new ethereum holders year to date million new ethereum holders year to and ethereum many metrics are up and i want to point out actually,ETH,
altcoin_daily_2021-06-03,00:09:04.640,00:09:14.320,ETH,this is pretty interesting a few ethereum metrics that are bullish and also ethereum metrics that are bullish and are you know comparing them to bitcoin ethereum is gaining ground,ETH,
altcoin_daily_2021-06-03,00:10:55.360,00:11:10.560,DOGE,still a peer-to-peer trading platform but is now moving beyond bitcoin local bitcoins is adding support for doge ada dot link and more pretty interesting shopify for nfts launches on,DOGE,
altcoin_daily_2021-06-03,00:11:46.079,00:11:57.920,DOGE,but uh solana is definitely one to watch we're in a bull market dogecoin continues we're in a bull market dogecoin surge over 20 following coinbase listing dogecoin finally made,DOGE,
altcoin_daily_2021-06-03,00:12:17.519,00:12:27.680,DOGE,dogecoin um maybe you know when we're still in a bull market but definitely when we're in a bear market this speaks to the state of the market bull market,DOGE,
altcoin_daily_2021-06-03,00:12:27.680,00:12:40.160,DOGE,dogecoin music festival gets backing from elon musk so this is an unofficial festival that they're trying to put together would you go to doge festival honestly it looks kind,DOGE,
altcoin_daily_2021-06-03,00:12:40.160,00:12:52.560,DOGE,of funny and cool so if doge fest happens we need elon musk to dj grimes and snoop dogg to perform bring your own dogs mark cuban as an investor,DOGE,
altcoin_daily_2021-06-03,00:12:52.560,00:13:04.240,DOGE,doge as payment for everything what else and elon musk says sounds kind of fun and i tend to agree this would this sounds kind of fun quite honestly kraken,DOGE,
altcoin_daily_2021-06-04,00:03:07.519,00:03:16.800,ETH,aiming to compete with ethereum blockchain aiming to compete with on speed and scalability so like ethereum it supports smart contracts meaning coins and dapps can be built on top,ETH,
altcoin_daily_2021-06-04,00:07:33.120,00:07:43.199,crypto_space,different the solana foundation has teamed up with blockchain fund rock capital to further the ecosystems expansion in korea to further the ecosystems expansion in and iraq capital hopes to,,
altcoin_daily_2021-06-05,00:00:20.640,00:00:29.039,ETH,glad you tuned in because we're going to do something a little bit different make sure you watch the whole video check the timestamps below in this video i will,ETH,
altcoin_daily_2021-06-05,00:00:35.760,00:00:42.640,DOGE,not going to be talking about uni polka dot i'm not even going to be talking about doge i'm not even going to be talking about because these are all,DOGE,
altcoin_daily_2021-06-05,00:04:44.639,00:04:50.000,None,other middleman to like an inferior or some other this really gives you that full end to end from the user of privacy and trustlessness you would want for that,,
altcoin_daily_2021-06-05,00:05:10.800,00:05:18.479,ETH,harder to access amino will still be really small and accessible permissionlessly and i think that's something that's an asset today when we think about how hard it is to,ETH,
altcoin_daily_2021-06-05,00:05:57.440,00:06:09.440,ETH,the west binance smart chain pad and tron have partnered together for tron pad tron's first ido launch pad so very similar to binance smart chain pad where projects launch,ETH,
altcoin_daily_2021-06-05,00:06:53.360,00:07:04.960,None,now trending we couldn't do it without you binance smart chain pad and tron pad in top volume on pancake swap so we all know that tron pad is catching,,
altcoin_daily_2021-06-05,00:10:40.959,00:10:49.279,None,i like their style of nfts and the reason i'm interested in this project and the reason i'm interested in this is for a variety of reasons well number one,,
altcoin_daily_2021-06-06,00:05:50.800,00:06:02.080,BTC,are other coins right well bitcoin is going for the use case of digital gold store of value money other coins are going for different use cases and have potential,BTC,
altcoin_daily_2021-06-06,00:07:09.199,00:07:22.160,ETH,what's interesting is silvergate that's not traditional finance this is a very tech savvy new age digital asset bank they do this with bitcoin currently both anchorage collateralizing and eth,ETH,
altcoin_daily_2021-06-06,00:12:12.320,00:12:20.399,crypto_space,you it was actually founded a few months ago by lydia a british tick-tocker and software engineer and lid used to post videos about cryptocurrencies and lid used to post,,
altcoin_daily_2021-06-07,00:01:40.159,00:01:52.079,BTC,nahib plans to introduce legislation that will make it the world's first sovereign nation to adopt bitcoin as legal tender the president broadcast his intentions on a video at the,BTC,
altcoin_daily_2021-06-07,00:01:52.079,00:02:05.840,BTC,bitcoin 2021 conference in miami just this weekend the president said the country is partnering with digital wallet company strike to build the modern financial infrastructure using bitcoin technology and,BTC,
altcoin_daily_2021-06-07,00:03:09.760,00:03:20.720,BTC,how this is going to change the country but let's talk about what this can do for any individual citizen in el salvador so bitcoin is hard money that cannot,BTC,
altcoin_daily_2021-06-07,00:03:40.959,00:03:53.439,BTC,be censored el salvadorians can finally transact with anybody with total freedom so this is a huge win for bitcoin but more than that this is a huge win for,BTC,
altcoin_daily_2021-06-07,00:04:18.000,00:04:27.520,BTC,he says bitcoin has a market cap currently of 680 billion dollars if just one percent of this is invested in el salvador that would increase our gdp in el,BTC,
altcoin_daily_2021-06-07,00:06:59.599,00:07:08.720,DOGE,the best the world has but even you know notable people are recognizing the federal reserve is doge coining the us dollar and this isn't coming from me this is,DOGE,
altcoin_daily_2021-06-07,00:07:08.720,00:07:19.120,DOGE,coming from representative warren davidson who is a co-panelist at bitcoin 2021 where he said hey the us dollar is kind of no different from dogecoin so the world is,DOGE,
altcoin_daily_2021-06-07,00:08:22.000,00:08:27.919,BTC,unfair to compare the two because i think they have totally different two because i think they have totally value props this isn't a knock on bitcoin at all that,BTC,
altcoin_daily_2021-06-07,00:09:47.360,00:09:57.440,ETH,covering a bitcoin miami and the anchor prompted this uh correspondent to say hey besides bitcoin what else is there so she was set up tell us something besides bitcoin,ETH,
altcoin_daily_2021-06-07,00:10:23.200,00:10:36.160,ETH,what's the next one i would choose exactly what does get the most buzz right now everybody's talking about ethereum because ethereum 2.0 is this release that's imminent and ethereum,ETH,
altcoin_daily_2021-06-07,00:12:34.399,00:12:43.519,DOGE,had some dogecoin army person disrupt the stage um you know it was just like it was seemed to be really informative panels seemed to be people were you know,DOGE,
altcoin_daily_2021-06-08,00:02:23.200,00:02:34.239,crypto_space,continue to explore the synergies between the two i guess square and block streams mining farm we're excited to share our ongoing learnings and real world data points the project,,
altcoin_daily_2021-06-08,00:07:21.199,00:07:32.720,crypto_space,utilify is a blockchain collaboration platform that connects creators brands and developers so it is it is not its own blockchain but just a platform for different blockchains and it,,
altcoin_daily_2021-06-08,00:08:52.160,00:09:00.240,None,the reason that i say it sort of reminds me of a social media type platform because like facebook like linkedin you have to send friend requests like linkedin you,,
altcoin_daily_2021-06-09,00:04:39.680,00:04:50.880,BTC,we'll soon see is more of a v-shaped similar to what we saw in 2017 but like i said bitcoin on longer term time frames still looks great to me,BTC,
altcoin_daily_2021-06-09,00:05:48.400,00:05:58.240,BTC,for coining the net neutrality and the details are this tim wu a member of the national economics council in the us holds bitcoin and filecoin check this out his,BTC,
altcoin_daily_2021-06-09,00:08:08.639,00:08:17.120,crypto_space,industries and use cases well if you do you should seek out this head well if you do you should seek out this of product comma blockchain for amazon seattle,,
altcoin_daily_2021-06-11,00:00:05.520,00:00:17.279,DOGE,um i'm not gonna plug dogecoin here i think and speaking of now being harassed on twitter um i think there's some interesting there's there's a lot of interesting stuff,DOGE,
altcoin_daily_2021-06-11,00:02:18.800,00:02:34.239,ETH,news make things easy to understand and that's exactly what we're doing today so my personal opinion is that bitcoin and eth complement each other greatly you don't have to,ETH,
altcoin_daily_2021-06-11,00:05:41.520,00:05:52.240,ETH,year two years and i'm bullish on bitcoin for the next decade to be sure let's look at the facts bitcoin and ethereum flows show signs of accumulation this is,ETH,
altcoin_daily_2021-06-11,00:05:52.240,00:05:59.840,crypto_space,what we need to pay attention to what where is the money going on this dip what where is the money going on this lawn chain data shows that crypto,,
altcoin_daily_2021-06-11,00:06:31.600,00:06:44.400,BTC,sell anytime soon bitcoin net flows from cryptocurrency exchanges was in fact negative yesterday around 18 800 bitcoin worth 630 million based on last 800 bitcoin worth 630 million based,BTC,
altcoin_daily_2021-06-11,00:06:44.400,00:06:58.960,ETH,on day's trading prices these are levels not seen since february levels not seen since february people taking bitcoin off exchanges moreover the weekly net flows for ethereum have been,ETH,
altcoin_daily_2021-06-11,00:08:19.680,00:08:31.120,crypto_space,such a nascent yet exploding industry i mean i tend to think the future is bright for cryptocurrency in general right you know i feel like we're early we're just,,
